name,rating,genre,year,score,director,writer,star,budget,gross,runtime
Quartet,R,Drama,1981,6.3,James Ivory,Jean Rhys,Isabelle Adjani,,12042,101
Graduation Day,R,Horror,1981,4.9,Herb Freed,Anne Marisse,Christopher George,250000,,96
Modern Problems,PG,Comedy,1981,5.1,Ken Shapiro,Ken Shapiro,Chevy Chase,8000000,26154211,93
Pennies from Heaven,R,Drama,1981,6.5,Herbert Ross,Dennis Potter,Steve Martin,22000000,9171289,108
American Pop,R,Animation,1981,7.2,Ralph Bakshi,Ronni Kern,Mews Small,1500000,,96
The Legend of the Lone Ranger,PG,Action,1981,5.1,William A. Fraker,Ivan Goff,Klinton Spilsbury,18000000,12617845,98
Sphinx,PG,Adventure,1981,5.2,Franklin J. Schaffner,John Byrum,Lesley-Anne Down,14000000,2022771,118
Night School,R,Horror,1981,5.6,Ken Hughes,Ruth Avergon,Leonard Mann,,1169875,88
An Eye for an Eye,R,Action,1981,5.5,Steve Carver,James Bruner,Chuck Norris,3800000,,106
Zoot Suit,R,Drama,1981,6.8,Luis Valdez,Luis Valdez,Daniel Valdez,2700000,3256082,103
Rich and Famous,R,Drama,1981,5.9,George Cukor,Gerald Ayres,Jacqueline Bisset,,14492125,117
Buddy Buddy,R,Comedy,1981,6.5,Billy Wilder,Francis Veber,Jack Lemmon,10000000,7258543,96
Bustin' Loose,R,Comedy,1981,6.1,Oz Scott,Lonne Elder III,Richard Pryor,11000000,31261269,94
Modern Romance,R,Comedy,1981,7,Albert Brooks,Albert Brooks,Albert Brooks,,2863642,93
Heartbeeps,PG,Comedy,1981,4.3,Allan Arkush,John Hill,Andy Kaufman,12000000,2154696,78
Back Roads,R,Adventure,1981,5.6,Martin Ritt,Gary DeVore,Sally Field,,11809387,94
Take This Job and Shove It,PG,Comedy,1981,5,Gus Trikonis,Barry Schneider,Robert Hays,3500000,17569027,100
Raggedy Man,R,Drama,1981,6.8,Jack Fisk,William D. Wittliff,Sissy Spacek,,1976198,94
Whose Life Is It Anyway?,R,Comedy,1981,7.3,John Badham,Brian Clark,Richard Dreyfuss,13000000,8206145,119
Inchon,PG,Drama,1981,2.7,Terence Young,Robin Moore,Laurence Olivier,46000000,5200986,140
All Night Long,R,Comedy,1981,5.5,Jean-Claude Tramont,W.D. Richter,Gene Hackman,14000000,4454295,87
The Pursuit of D.B. Cooper,PG,Adventure,1981,5.6,Roger Spottiswoode,J.D. Reed,Robert Duvall,12000000,3702028,100
Rollover,R,Drama,1981,5.4,Alan J. Pakula,Howard Kohn,Jane Fonda,16000000,10851261,116
Only When I Laugh,R,Comedy,1981,6.5,Glenn Jordan,Neil Simon,Marsha Mason,,25524778,120
Honky Tonk Freeway,PG,Action,1981,5.2,John Schlesinger,Edward Clinton,David Rasche,24000000,2004742,107
Paternity,PG,Comedy,1981,4.9,David Steinberg,Charlie Peters,Burt Reynolds,,18838812,94
